genus	mean.weight
RUG754	-0.03501710121569722
Butyrivibrio_A	-0.03504410301098553
Rubneribacter	-0.036026259403325045
CAG-449	-0.035788338214093475
Limivicinus	-0.036235392056986636
UMGS1781	-0.03643260530412698
UBA738	-0.03690399147188814
Fructilactobacillus	-0.03679036698099199
Treponema_C	-0.03647314752095997
Phytobacter	-0.03720447791755766
Brachybacterium	-0.03663492249660011
Acidaminococcus	-0.037460271274242396
CAG-127	-0.037797971855114056
Pararcticibacter	-0.0380004020557273
MWCQ01	-0.03830269000154497
Enterococcus_D	-0.03822431267468562
Basfia_A	-0.03938724633477156
Actinoplanes	-0.04021146980865904
Bacteroides_F	-0.03945032997906576
Muricauda	-0.0404807408947797
Kineothrix	-0.03980139477962453
Eubacterium_I	-0.04048717175428728
UMGS27	-0.040255088980157824
Porphyromonas	-0.041407281359878326
Ramlibacter	-0.04337807162582969
Aureimonas_A	-0.041756251704151544
SDRW01	-0.04231784682059925
CAG-417	-0.04267876978534828
SFGY01	-0.04294655855577991
Fusobacterium_B	-0.04343760597826981
Bosea	-0.04399795037237741
Kribbella	-0.04340695619986087
Cryptobacterium	-0.04434163913402015
Duodenibacillus	-0.04433805610408296
Alloprevotella	-0.04449244055333855
Rodentibacter	-0.04484678842867102
Fusobacterium_C	-0.045047722364391696
Massilia	-0.04629481043776101
Proteus	-0.04561368580694351
CAG-710	-0.04609706553201458
JACDCA01	-0.04676780975987431
43-108	-0.046645202097819964
Lacrimispora	-0.047183838848013325
Phocaeicola	-0.047114032670084204
Aphodousia	-0.04731005205421532
Planococcus	-0.047862684985913735
Aminipila	-0.04786381122920572
Dysgonomonas	-0.047258669083079005
Aggregatibacter	-0.04720874151533629
GCA-900066905	-0.047707499815136604
Angelakisella	-0.047703134099885115
CAG-238	-0.04774234804783257
UMGS1491	-0.04941002467465902
Romboutsia_C	-0.048848571410960814
Devosia_A	-0.0505193101567145
Campylobacter_D	-0.05013896932344534
Lysobacter	-0.05065504939398494
CAG-194	-0.05075755300798165
Phascolarctobacterium	-0.05129327241362256
Ochrobactrum_A	-0.05046886460267564
Eubacterium	-0.051135011297943414
Anaerococcus	-0.05130366945576188
Methanobrevibacter_A	-0.0517310655314202
Olsenella_I	-0.05165853973345078
Butyricicoccus_A	-0.052394492348132135
Porphyromonas_A	-0.05199194793121299
UBA1436	-0.052871458582706456
UBA4372	-0.05455559759224796
BX7	-0.054265100077042716
Scatomonas	-0.05456456893391984
ER4	-0.054814679431090405
JAGZMM01	-0.05468419227378392
QAMH01	-0.05469319757982354
QALW01	-0.05591163004565599
Eubacterium_F	-0.055522226349685844
Rhodococcus_B	-0.05622664500223515
F0422	-0.05569411982653681
Herbaspirillum	-0.05709268067865855
Galliscardovia	-0.05596602361730724
Scardovia	-0.05677933395890328
UBA3282	-0.05688520708651963
Anaerostipes	-0.05793688293463984
Intestinimonas	-0.05829683351621396
Treponema_G	-0.05787889461545367
Arcanobacterium	-0.05880096879227651
Howiella	-0.05864977197750254
Bacteroides_D	-0.058985249840095996
GCA-900199385	-0.05911829469651456
Eggerthia	-0.05955057195295156
Plesiomonas	-0.05904527535021955
Azospirillum	-0.05934551676286779
Enterococcus_B	-0.06003102409295086
Campylobacter_B	-0.05936615337616283
Sutterella	-0.06005931864750247
Victivallis	-0.06019029679878501
Enterobacter	-0.06052305805426429
CAG-568	-0.059990374092874034
Longicatena	-0.06015089488643411
Campylobacter_A	-0.060822294881794504
Mucispirillum	-0.060874919332732744
Shewanella	-0.06199308785096597
Anaerotruncus	-0.06156543940496558
Cellvibrio	-0.06224489502150071
Clostridioides	-0.062348724763081065
Cetobacterium_A	-0.06261555292016713
Fimivivens	-0.06320470650357307
Ruminococcus_D	-0.06309549508363607
Moraxella	-0.06439267204605315
Negativibacillus	-0.06395998040898083
D16-34	-0.06444701027027891
Gallimonas	-0.06412361371182136
Emergencia	-0.06509413926192657
Mailhella	-0.06552947459367522
Metamycoplasma	-0.0654304777037319
Microbacterium	-0.065906727625843
Lachnoclostridium_B	-0.066569086176696185
Stenotrophomonas	-0.06714817586230061
Ruminiclostridium_E	-0.06739221675626003
Selenomonas	-0.06778295763865527
Bariatricus	-0.06834282087112903
Dielma	-0.06790653916538089
MGBC101980	-0.06852183421984327
Anaeromassilibacillus	-0.06894094132642435
Caccovivens	-0.06971961512233489
Corynebacterium	-0.07062044338727241
Faecalibaculum	-0.07405213368454595
CAG-841	-0.07221712534535066
Parvibacter	-0.07271426937266622
Gluconobacter	-0.07287811718817237
Massilioclostridium	-0.07268225040206963
Arachnia	-0.07394765058832407
KBS-96	-0.07467815961473555
Paramuribaculum	-0.07494666472644494
Metabacillus	-0.07463894975756605
Granulicatella	-0.07538440656165427
Muribaculum	-0.07650128915746546
CAG-170	-0.07687807709933496
Methylobacterium	-0.07829366890406442
Palsa-739	-0.07922782940291198
Desulfovibrio	-0.07932635811294876
Finegoldia	-0.07942620641872791
VBCG01	-0.0788532678751189
Bergeyella_A	-0.08032033902045037
Leclercia	-0.0795321540825941
Filifactor	-0.08047688674054287
MGBC100320	-0.08102482743416681
Erysipelatoclostridium	-0.08328202059337292
Fimisoma	-0.08384549680954739
Cedecea	-0.08489387382927549
Jeotgalicoccus	-0.08462595181582817
Fimenecus	-0.08462484475634713
Latilactobacillus	-0.0851007223590872
Leptospira	-0.08514869211504617
VAZQ01	-0.08726667811741297
UBA2862	-0.08712216878116477
CAG-95	-0.08731708235359349
Clostridium_AP	-0.08889682143208803
Murimonas	-0.08943974239225856
Pseudomonas_E	-0.08970287590274978
JAGTTR01	-0.09026941345199756
Thermus	-0.09084560200033062
Akkermansia	-0.09048763558115393
Pseudonocardia	-0.09138053513303254
Olsenella_F	-0.09251547418591134
Staphylococcus	-0.09237868497573781
Allisonella	-0.09189568751556179
Hungatella	-0.09277483825040263
Propionibacterium	-0.09351995692735654
Enterenecus	-0.09364501223496959
Odoribacter	-0.09389389040700133
Eikenella	-0.09459521592895274
CHH4-2	-0.09798812322825867
