Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR412471,AMPLICON,601,11988630,PRJDB14539,SAMD00548513,MIMARKS.survey.human-gut,6991207,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398072,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548513,C_20_4w,DRP009232
DRR412472,AMPLICON,601,10504482,PRJDB14539,SAMD00548514,MIMARKS.survey.human-gut,6113154,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398073,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548514,C_21_0w,DRP009232
DRR412473,AMPLICON,600,12262759,PRJDB14539,SAMD00548515,MIMARKS.survey.human-gut,7006244,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398074,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548515,C_21_4w,DRP009232
DRR412474,AMPLICON,601,13725007,PRJDB14539,SAMD00548516,MIMARKS.survey.human-gut,8125540,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398075,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548516,T_22_0w,DRP009232
DRR412475,AMPLICON,601,11461758,PRJDB14539,SAMD00548517,MIMARKS.survey.human-gut,6721267,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398076,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548517,T_22_4w,DRP009232
DRR412476,AMPLICON,601,9935042,PRJDB14539,SAMD00548518,MIMARKS.survey.human-gut,5885007,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398077,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548518,C_23_0w,DRP009232
DRR412477,AMPLICON,601,11108181,PRJDB14539,SAMD00548519,MIMARKS.survey.human-gut,6443195,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398078,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548519,C_23_4w,DRP009232
DRR412478,AMPLICON,601,13749509,PRJDB14539,SAMD00548520,MIMARKS.survey.human-gut,8064683,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398079,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:12:00Z,1,SAMD00548520,C_24_0w,DRP009232
DRR412479,AMPLICON,601,11758665,PRJDB14539,SAMD00548521,MIMARKS.survey.human-gut,6807560,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398080,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548521,C_24_4w,DRP009232
DRR412480,AMPLICON,601,11077391,PRJDB14539,SAMD00548522,MIMARKS.survey.human-gut,6442702,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398081,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548522,T_25_0w,DRP009232
