Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13759249,WGS,300,5580697500,PRJNA703757,SAMN18023187,Metagenome or environmental,1888269297,HANS KNOLL INSTITUTE,2017,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX10146047,CS086V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS086V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:06:00Z,1,CS086V1,SRP307400
SRR13759250,WGS,300,6867408300,PRJNA703757,SAMN18023151,Metagenome or environmental,2268436260,HANS KNOLL INSTITUTE,2017,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146046,CS015V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS015V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:09:00Z,1,CS015V1,SRP307400
SRR13759251,WGS,300,5881578000,PRJNA703757,SAMN18023186,Metagenome or environmental,1934581429,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX10146045,CS084V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS084V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T03:59:00Z,1,CS084V5,SRP307400
SRR13759252,WGS,300,5818697100,PRJNA703757,SAMN18023185,Metagenome or environmental,1891866660,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146044,CS084V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS084V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:21:00Z,1,CS084V1,SRP307400
SRR13759253,WGS,300,5259329100,PRJNA703757,SAMN18023184,Metagenome or environmental,1672120787,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146043,CS083V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS083V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T03:58:00Z,1,CS083V5,SRP307400
SRR13759254,WGS,300,6208665900,PRJNA703757,SAMN18023183,Metagenome or environmental,2055237837,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX10146042,CS083V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS083V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:03:00Z,1,CS083V1,SRP307400
SRR13759255,WGS,300,4970543100,PRJNA703757,SAMN18023182,Metagenome or environmental,1601244295,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146041,CS078V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS078V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:04:00Z,1,CS078V5,SRP307400
SRR13759256,WGS,300,6431679300,PRJNA703757,SAMN18023181,Metagenome or environmental,2010509649,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146040,CS078V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS078V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:14:00Z,1,CS078V1,SRP307400
SRR13759257,WGS,300,5314786200,PRJNA703757,SAMN18023180,Metagenome or environmental,1819381998,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX10146039,CS074V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS074V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:05:00Z,1,CS074V5,SRP307400
SRR13759258,WGS,300,6626163600,PRJNA703757,SAMN18023179,Metagenome or environmental,2313404404,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146038,CS074V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS074V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:19:00Z,1,CS074V1,SRP307400
