feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
ko:K00702	938.2302	773.23511	560.67772	901.41893	716.72153	725.76459	2694.45456	2087.83592	568.30643	267.92218	1052.4599	176.25346	1149.99153	894.393	2128.55576	307.44026	1828.51457	371.31461	267.57371	770.03976	895.65184	551.13405	473.71652	316.89369	351.04044	1444.36948	914.13704	1533.92988	1003.33211	839.41465	789.051	990.60093	348.80206	467.08259	550.92615
ko:K00703	1996.27693	1297.38761	1211.42933	1540.83906	1754.54366	1783.53493	3441.4247	2894.45693	1085.54336	927.76158	1799.19101	770.15179	2212.51082	1931.64395	2667.29883	396.02881	1977.32174	2170.26161	1236.759	2030.40673	1999.57654	2166.79606	1284.38952	980.92532	753.18979	1531.49102	1876.4561	2366.05697	2150.259	1759.56283	1704.69392	1721.90319	1092.55354	1413.40131	1407.54311
ko:K00705	3259.00197	2154.43207	2164.31179	3287.0399	3253.87362	2989.87225	6499.62869	5253.40976	2098.41402	2111.74895	4234.03552	1289.92446	3516.67471	3265.23113	5471.57833	690.51408	3665.49041	3801.30938	2328.53733	3702.61006	3342.10544	4305.27557	2753.83567	1464.76197	1411.03145	3111.0388	3258.61071	5140.02111	3288.27103	3171.79411	3500.84156	3197.83838	1667.36015	2141.83768	2232.25761
ko:K00710	NA	5.0424	1.05357	NA	NA	0.56437	NA	7.83054	9.66591	NA	NA	NA	NA	0.42375	17.30592	NA	NA	NA	NA	1.29624	38.42651	NA	NA	NA	NA	NA	NA	NA	2.76359	3.4797	9.42738	1.20678	5.31321	NA	NA
ko:K00712	39.22856	17.34067	89.2721	12.02696	36.17363	76.41346	38.46014	38.15849	65.07425	34.0751	63.06263	26.52612	78.15071	82.44822	96.69846	3.24322	28.77094	38.69422	27.84954	57.47604	58.18225	120.85586	52.50092	59.41166	29.90683	65.75629	34.55525	147.59568	70.8993	33.91812	22.34496	32.27327	16.86704	23.85985	35.34368
ko:K00713	17.05765	13.4756	13.50352	14.97033	4.70265	43.40013	12.20157	11.03635	32.0211	29.47301	4.55251	65.90323	13.44434	11.33809	9.26915	NA	1.14105	35.19614	87.85228	13.83089	16.58449	318.44622	66.85364	83.84406	2.70245	6.04889	31.19461	60.56885	50.44046	7.7239	3.76522	NA	1.65105	27.91304	56.37882
ko:K00715	NA	0.61952	NA	NA	NA	NA	NA	0.68193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21008	10.60561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00717	NA	NA	1.77394	NA	0.51079	0.51405	NA	2.7944	1.86484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14228	25.77891	NA	NA	NA	NA	NA	NA	NA	1.45705	NA	NA	NA	3.57989	NA	NA
ko:K00719	1.09973	0.33418	5.00898	NA	3.85244	2.35888	NA	4.01068	NA	NA	NA	NA	NA	0.68769	3.87484	NA	NA	NA	NA	0.71239	13.03156	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.16486	2.19994	42.39646	NA	NA
ko:K00720	6.48148	10.71699	32.5905	25.38928	69.6978	9.65472	4.37372	5.3546	2.01943	51.58236	52.81243	12.43505	11.31174	74.7237	36.62511	1.58112	9.26527	18.85649	3.23519	72.41095	50.89017	93.92272	17.57039	38.01012	2.44471	2.07029	7.50997	2.1065	2.4516	11.70068	16.60427	0.36106	5.53976	35.04751	39.31731
ko:K00721	464.27611	562.66329	510.04341	1235.74439	1002.56056	496.4732	1660.72145	1427.18763	450.09087	833.33014	800.39952	559.20491	621.45754	943.43183	1423.93707	280.6226	1601.82797	1659.25397	841.12872	1100.09252	913.58876	1265.69067	793.68843	459.1	396.80808	1063.16843	1003.03349	1002.76574	693.33642	644.85959	864.91177	822.10115	272.98991	760.73767	605.02022
ko:K00725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20956	0.90268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10837	0.64382	NA	NA	NA
ko:K00726	1.68088	3.56889	0.77488	0.83698	NA	NA	NA	14.7088	5.58603	NA	NA	NA	NA	4.63596	20.09487	NA	NA	NA	NA	2.57557	61.2825	NA	NA	NA	NA	NA	NA	NA	2.44916	4.8027	5.77761	5.44303	29.62874	NA	NA
ko:K00728	526.24659	190.29468	222.47588	62.70989	211.35141	324.90783	391.24894	271.97671	288.51165	85.42013	458.6244	43.02053	329.24258	138.92542	239.74749	9.39525	30.92389	145.23465	61.13505	325.2848	529.53043	88.14296	60.06934	192.45506	19.73724	56.3053	46.52915	143.91187	247.4563	176.09438	126.33587	152.75963	195.17764	55.88675	128.05465
ko:K00729	NA	NA	NA	NA	NA	NA	NA	NA	2.48976	NA	NA	NA	NA	NA	2.78181	NA	NA	NA	NA	NA	37.76551	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.44531	0.88182	3.89254	NA	NA
